Entity,Code,Year,Open dumps,Open burning,Controlled landfills,Sanitary landfills,Incinerated,Composted,Recycled
Mali,MLI,2020,59.68885,38.253864,0,0,0,0.7690539,1.2882311
Malta,MLT,2020,0.8375,0.8375,1.675,89.59,0.37,0,6.69
Marshall Islands,MHL,2020,38.96,38.96,0,0,0,3.6,18.48
Martinique,MTQ,2020,23.705072,4.5981703,47.410145,19.106901,0.1259742,0.39374,4.6599994
Mauritania,MRT,2020,44.388744,8.679509,41.70919,0,0,0,5.2225575
Mauritius,MUS,2020,0.5,0.5,1,89.18,0,8.82,0
Mayotte,MYT,2020,15.593462,1.929436,31.186924,13.664026,9.479528,10.395168,17.751453
Mexico,MEX,2020,20.797,1.65,3.3,69.583,0,0,4.67
Micronesia (country),FSM,2020,50.581768,47.656643,0,0,0,0.6653036,1.0962852
Moldova,MDA,2020,57.633953,30.528784,0,0,0,0,11.837263
Monaco,MCO,2020,0,0,0,9.6,85,0,5.4
Mongolia,MNG,2020,88.63691,3.7876947,7.5753894,0,0,0,0
Montenegro,MNE,2020,90.29609,1.4823498,2.9646995,0,0,0,5.256858
Montserrat,MSR,2020,23.705072,4.5981703,47.410145,19.106901,0.1259742,0.39374,4.6599994
Morocco,MAR,2020,48.65,3.93,7.86,31.82,0,0.86,6.88
Mozambique,MOZ,2020,75.725,23.75,0,0,0,0,0.525
Myanmar,MMR,2020,50,50,0,0,0,0,0
Namibia,NAM,2020,24.7345,24.7345,49.469,0,0,0,1.062
Nauru,NRU,2020,16.971193,2.7552247,33.942387,14.215969,21.348042,2.4022398,8.364945
Nepal,NPL,2020,24.32555,15.63055,48.6511,8.695,0,2.6978,0
Netherlands,NLD,2020,0,0,0,0.921,47.369,27.1,24.61
Netherlands Antilles,ANT,2020,15.593462,1.929436,31.186924,13.664026,9.479528,10.395168,17.751453
New Caledonia,NCL,2020,22.57009,13.389527,45.14018,9.180562,0,0.758396,8.9612465
New Zealand,NZL,2020,25,0.75,50,24.25,0,0,0
