City,Region,Country,AirQuality,WaterPollution,AirQuality_norm,WaterPollution_norm,AirQuality_log,WaterPollution_log,EnvScore
Orebro,Orebro County,sweden,87.5,12.5,0.875,0.125,4.483002552013883,2.6026896854443837,75.0
Zilina,Zilina region,slovakia,55.0,31.25,0.55,0.3125,4.02535169073515,3.4735180432417816,23.75
Trondheim,Trondelag,norway,91.0,9.210526316,0.91,0.09210526315999999,4.5217885770490405,2.323419179917506,81.789473684
Presov,Presov Region,slovakia,58.33333333,25.0,0.5833333333,0.25,4.083171261567796,3.258096538021482,33.33333333
Trnava,Trnava Region,slovakia,60.71428571,0.0,0.6071428571,0.0,4.122515439119352,0.0,60.71428571
Jieyang,Guangdong,people's republic of china,12.5,50.0,0.125,0.5,2.6026896854443837,3.9318256327243257,-37.5
Aley,Mount Lebanon Governorate,lebanon,75.0,100.0,0.75,1.0,4.330733340286331,4.61512051684126,-25.0
Jersey City,New Jersey,united states of america,58.33333333,60.0,0.5833333333,0.6,4.083171261567796,4.110873864173311,-1.666666669999998
Kalmar,Kalmar County,sweden,100.0,50.0,1.0,0.5,4.61512051684126,3.9318256327243257,50.0
Poprad,Presov Region,slovakia,97.22222222,10.0,0.9722222222000001,0.1,4.5872324852788,2.3978952727983707,87.22222222
Nitra,Nitra Region,slovakia,75.0,50.0,0.75,0.5,4.330733340286331,3.9318256327243257,25.0
Keller,Texas,united states of america,66.66666667,25.0,0.6666666667,0.25,4.214593690422939,3.258096538021482,41.66666667
Ciudad Juarez,Chihuahua,mexico,56.25,43.75,0.5625,0.4375,4.047427642434349,3.8010914447208646,12.5
Fukuoka,Fukuoka Prefecture,japan,56.25,40.625,0.5625,0.40625,4.047427642434349,3.7287009483006077,15.625
Nausori,Central Division,fiji,0.0,100.0,0.0,1.0,0.0,4.61512051684126,-100.0
Bergen,Vestland,norway,80.3030303,17.59259259,0.803030303,0.1759259259,4.398183288921873,2.922763253547958,62.71043771000001
Davenport,Iowa,united states of america,86.36363636,53.57142857,0.8636363636000001,0.5357142857,4.470079136130298,3.999510459525084,32.79220779
Ciudad Bolivar,Bolivar,venezuela,100.0,50.0,1.0,0.5,4.61512051684126,3.9318256327243257,50.0
Martin,Zilina region,slovakia,55.0,0.0,0.55,0.0,4.02535169073515,0.0,55.0
Unaizah,Al-Qassim Province,saudi arabia,50.0,50.0,0.5,0.5,3.9318256327243257,3.9318256327243257,0.0
Najran,Najran Province,saudi arabia,75.0,25.0,0.75,0.25,4.330733340286331,3.258096538021482,50.0
Molndal,Vastra Gotaland County,sweden,100.0,50.0,1.0,0.5,4.61512051684126,3.9318256327243257,50.0
Ruzomberok,Zilina region,slovakia,45.0,50.0,0.45,0.5,3.828641396489095,3.9318256327243257,-5.0
Jizan,Jazan Province,saudi arabia,25.0,100.0,0.25,1.0,3.258096538021482,4.61512051684126,-75.0
Jayapura,Papua,indonesia,100.0,12.5,1.0,0.125,4.61512051684126,2.6026896854443837,87.5
Jackson,Mississippi,united states of america,85.41666667,28.57142857,0.8541666667,0.2857142857,4.459180558480099,3.3868086441617464,56.8452381
Augusta,Maine,united states of america,50.0,100.0,0.5,1.0,3.9318256327243257,4.61512051684126,-50.0
Baton Rouge,Louisiana,united states of america,64.58333333,40.625,0.6458333333,0.40625,4.183321598578577,3.7287009483006077,23.958333330000002
Lansing,Michigan,united states of america,92.85714286,41.66666667,0.9285714286,0.41666666669999997,4.541773869459739,3.7534179753296324,51.19047619
Concord,New Hampshire,united states of america,91.66666667,15.0,0.9166666667,0.15,4.529008825058499,2.772588722239781,76.66666667
Lincoln,Nebraska,united states of america,86.66666667,27.5,0.8666666667,0.275,4.473541743547678,3.349904087274605,59.16666667
Annapolis,Maryland,united states of america,86.53846154,47.22222222,0.8653846154,0.4722222222,4.472078257242314,3.8758199567181024,39.31623932
Olinda,Pernambuco,brazil,50.0,75.0,0.5,0.75,3.9318256327243257,4.330733340286331,-25.0
Sao Luis,Maranhao,brazil,50.0,100.0,0.5,1.0,3.9318256327243257,4.61512051684126,-50.0
Springfield,Illinois,united states of america,90.625,62.5,0.90625,0.625,4.517704160206816,4.151039905898646,28.125
Hamadan,Hamadan Province,iran,39.28571429,37.5,0.3928571429,0.375,3.6959969219891833,3.6506582412937387,1.7857142900000014
Kozhikode,Kerala,india,57.25806452,70.23809524,0.5725806452,0.7023809524000001,4.06488252955823,4.266027720837737,-12.98003072000001
Saint Paul,Minnesota,united states of america,88.54166667,30.0,0.8854166667,0.3,4.494704066331791,3.4339872044851463,58.54166667
Jixi,Heilongjiang,people's republic of china,12.5,50.0,0.125,0.5,2.6026896854443837,3.9318256327243257,-37.5
Zunyi,Guizhou,people's republic of china,0.0,50.0,0.0,0.5,0.0,3.9318256327243257,-50.0
Jinzhou,Liaoning,people's republic of china,0.0,75.0,0.0,0.75,0.0,4.330733340286331,-75.0
Zigong,Sichuan,people's republic of china,0.0,50.0,0.0,0.5,0.0,3.9318256327243257,-50.0
Hastings,England,united kingdom,100.0,0.0,1.0,0.0,4.61512051684126,0.0,100.0
Canterbury,England,united kingdom,56.25,35.41666667,0.5625,0.35416666669999997,4.047427642434349,3.595026545399123,20.833333330000002
Montgomery,Alabama,united states of america,70.83333333,56.25,0.7083333333,0.5625,4.274348620829289,4.047427642434349,14.583333330000002
Boca Raton,Florida,united states of america,94.23076923,34.61538462,0.9423076923000001,0.3461538462,4.556303095774927,3.572777696754287,59.61538461000001
Juneau,Alaska,united states of america,100.0,25.0,1.0,0.25,4.61512051684126,3.258096538021482,75.0
Aswan,Aswan Governorate,egypt,75.0,25.0,0.75,0.25,4.330733340286331,3.258096538021482,50.0
Asyut,Asyut Governorate,egypt,50.0,25.0,0.5,0.25,3.9318256327243257,3.258096538021482,25.0
Chengdu,Sichuan,people's republic of china,22.14285714,58.87096774,0.2214285714,0.5887096774,3.141686186053614,4.092191708828672,-36.728110599999994
Zhengzhou,Henan,people's republic of china,2.631578947,68.33333333,0.02631578947,0.6833333333,1.2896675253293697,4.238925790985132,-65.70175438300001
Heredia,Heredia Province,costa rica,35.71428571,50.0,0.3571428571,0.5,3.603165935723175,3.9318256327243257,-14.285714290000001
Cartago,Provincia de Cartago,costa rica,78.125,18.75,0.78125,0.1875,4.3710288804643405,2.9831534913471307,59.375
Jalgaon,Maharashtra,india,33.75,54.6875,0.3375,0.546875,3.548179572010801,4.019755705231028,-20.9375
El Alto,La Paz Department,bolivia,50.0,100.0,0.5,1.0,3.9318256327243257,4.61512051684126,-50.0
Burlington,Vermont,united states of america,100.0,30.0,1.0,0.3,4.61512051684126,3.4339872044851463,70.0
Krakow,Lesser Poland Voivodeship,poland,12.19879518,36.53846154,0.1219879518,0.3653846154,2.5801255511841537,3.625366048432594,-24.339666360000002
Invercargill,Southland Region,new zealand,72.22222222,30.0,0.7222222222000001,0.3,4.293498957135939,3.4339872044851463,42.222222220000006
Allen,Texas,united states of america,75.0,12.5,0.75,0.125,4.330733340286331,2.6026896854443837,62.5
Las Cruces,New Mexico,united states of america,82.8125,33.33333333,0.828125,0.33333333330000003,4.428582161041898,3.5361166994644386,49.47916667
Sikar,Rajasthan,india,58.33333333,87.5,0.5833333333,0.875,4.083171261567796,4.483002552013883,-29.166666669999998
Melitopol,Zaporizhzhia Oblast,ukraine,75.0,50.0,0.75,0.5,4.330733340286331,3.9318256327243257,25.0
Jalandhar,Punjab,india,23.75,67.1875,0.23750000000000002,0.671875,3.2088254890146994,4.22226126359329,-43.4375
Little Rock,Arkansas,united states of america,89.28571429,22.05882353,0.8928571429000001,0.22058823530000002,4.502979245139012,3.1380484957597568,67.22689076
Hubli,Karnataka,india,26.78571429,69.44444444,0.2678571429,0.6944444444,3.3245220141574294,4.254824377037915,-42.65873015
Hartford,Connecticut,united states of america,65.38461538,50.0,0.6538461538,0.5,4.195465333552367,3.9318256327243257,15.38461538
Dover,Delaware,united states of america,100.0,50.0,1.0,0.5,4.61512051684126,3.9318256327243257,50.0
Gandia,Community of Valencia,spain,100.0,50.0,1.0,0.5,4.61512051684126,3.9318256327243257,50.0
Valparaiso,Valparaiso Region,chile,51.92307692,30.55555556,0.5192307692,0.3055555556,3.9688394804136675,3.451749660965832,21.36752136
