country,economic_status,coastal_population,waste_generation_rate_kg_person_day,_plastic_in_waste_stream,_inadequately_managed_waste,_littered_waste,waste_generation_kg_day,plastic_waste_generation_kg_day,inadequately_managed_plastic_waste_kg_day,plastic_waste_littered__kg_day,mismanaged_plastic_waste_kg_person_day,mismanaged_plastic_waste_in___tonnes
slovenia,HIC,2.6193381574313137,1.21,11.95,1.1301307999999999,2.0,2.633129476717541,2.4674921210753866,1.9894886339707996,2.0645585860693187,0.00452601263026,0.739839365722525
solomon islands,LMI,2.6627279454972124,0.79,12.95,86.27750309999999,2.0,2.6461478420525344,2.4895259054380614,2.47720712594592,2.097319541099034,0.090312299546455,0.7979971937177273
south africa,UMI,2.854898627509368,2.0,11.949999999999998,53.9873732,2.0,2.8940219295040044,2.7689185282316973,2.7294831853632764,2.487351775967978,0.1338098219479999,0.8322799911332539
spain,HIC,2.8870897016683927,2.13,12.949999999999998,3.91e-08,2.0,2.9283706664772096,2.8125944352609094,0.2945932567434253,2.544829246557284,0.0055167001078514,0.8073543512575746
sudan,LMI,2.6762977964182757,0.79,12.949999999999998,79.592941,2.0,2.6599429949784756,2.505641119805569,2.4868355901059034,2.1210661326405207,0.0834736582900499,0.799409905087031
suriname,UMI,2.632238697524751,1.36,11.949999999999998,14.5201104,2.0,2.6541111578888956,2.4922068112128457,2.31829867945151,2.101282370594467,0.0268484834220799,0.7755610203766604
syria,LMI,2.778976797796503,1.37,12.949999999999998,65.32289209999999,2.0,2.7983385215746592,2.6653705090281914,2.6352964929872837,2.347685337012723,0.1194409090192149,0.8199983858901935
taiwan,HIC,2.8857010779108223,2.1,11.949999999999998,0.24715050000000002,2.0,2.926278283983862,2.8053960265859654,2.3543011410380927,2.5354102776054592,0.00563922417975,0.8073221834390891
thailand,UMI,2.894545070070294,1.2,11.95,73.3949947,2.0,2.904581329637807,2.7808767480197467,2.761517986981576,2.503168022944279,0.1081164223997999,0.8362350096524223
tunisia,UMI,2.8213759576627986,1.2,11.949999999999998,59.5340024,2.0,2.8321699958999287,2.6985272862332947,2.6629979069689025,2.3929611409019835,0.0882397594415999,0.8236817324606779
turkey,UMI,2.909255170091149,1.77,11.949999999999998,16.489279800000002,2.0,2.9399082307499134,2.8207639183994213,2.7071973502997695,2.5554936787273625,0.03910760016897,0.8301046285949308
turks and caicos islands,HIC,2.400112918860054,2.1,11.949999999999998,0.39000189999999996,2.0,2.4652425144808747,2.2661339331565022,1.4205453125950345,1.7472224818428113,0.0059977097680499,0.6693402618557426
tuvalu,UMI,2.337532467576094,1.2,11.949999999999998,73.4860443,2.0,2.3549839045639827,2.129903067752936,2.092628454455581,1.5109722254472613,0.1082469875261999,0.735479217733131
ukraine,LMI,2.8174613271706446,0.79,12.949999999999998,48.6153297,2.0,2.8032750111522393,2.6710070515155295,2.6198227066051665,2.35542092955057,0.0517820130495849,0.8180321242800053
united arab emirates,HIC,2.741985665316877,1.66,11.949999999999998,0.0638208,2.0,2.774124106849756,2.6318995101704794,1.8790383115901612,2.301409170634056,0.00409400132096,0.7713574704771964
united kingdom,HIC,2.922231757134512,1.79,11.949999999999998,8.120000000000001e-09,2.0,2.9530819904511647,2.8355922836957395,0.2945932567434253,2.574783337792815,0.004278100017369,0.8115110173935707
united states,HIC,2.9725780080098785,2.58,12.949999999999998,8.379999999999999e-10,2.0,3.0199381405300336,2.91484482162784,0.2945932567434253,2.6764857825109902,0.0066822000027998,0.8251469491824047
uruguay,HIC,2.7539715798681077,2.1,11.949999999999998,7.673173799999999,2.0,2.8001320547464412,2.6618234216139838,2.4642753542263476,2.3428089823984255,0.0242748296510999,0.7986718632731725
usvi,HIC,2.5500102865076957,2.1,11.949999999999998,0.0321997,2.0,2.6063252145087272,2.4357825973078566,1.2447179259101553,2.0167928157862622,0.0050998051471499,0.7208915020626548
venezuela,HIC,2.8675586672005178,2.1,11.949999999999998,4.9414179,2.0,2.908863624424115,2.7857215767981307,2.580519692741668,2.509558662697575,0.01741948822005,0.8157640457231861
vietnam,LMI,2.9358935028975655,0.79,12.95,85.91834229999999,2.0,2.9233016456030385,2.8069014459763144,2.797693342840918,2.537381818589779,0.089944860090015,0.840687114860192
yemen,LMI,2.810329402402752,0.79,12.949999999999998,72.9005021,2.0,2.796040820430859,2.66274561826765,2.6404507246370104,2.3440773932378978,0.0766269586734049,0.8206534589559501
